Clean Development Mechanism::SYN::CDM,F 895         
transfer of units,F 2           
transfer technology and financial resources,F 1           
transferability of CERs::SYN::transferability of Certified Emission Reductions,F 2           
transition period,F 2           
transparency in reporting,F 3           
transparency of actions,F 2           
transparency while recognizing financial realities,F 1           
transparent and efficient institutional framework,F 1           
transparent and equitable high-level segment,F 1           
transparent manner,F 2           
transparent process,F 3           
transparent rules,F 2           
transparent way,F 2           
transport sector CDM projects::SYN::transport sector Clean Development Mechanism projects,F 1           
transportation fuel efficiency standards,F 1           
travel costs,F 2           
treatment of greenhouse gas sinks,F 1           
trustee and other institutional arrangements,F 1           
turning point in regional efforts,F 1           
